id,customuser_id,permission_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,2,32
58,2,33
59,2,34
60,2,35
61,2,36
62,2,40
63,2,44
64,2,48
65,2,49
66,2,50
67,2,51
68,2,52
69,2,56
70,2,25
71,2,26
72,2,27
73,2,28
74,3,32
75,3,33
76,3,34
77,3,35
78,3,36
79,3,40
80,3,44
81,3,48
82,3,49
83,3,50
84,3,51
85,3,52
86,3,56
87,3,25
88,3,26
89,3,27
90,3,28
91,3,24
92,4,32
93,4,36
94,4,40
95,4,44
96,4,45
97,4,46
98,4,47
99,4,48
100,4,52
101,4,53
102,4,54
103,4,55
104,4,56
105,4,29
106,4,30
107,4,31
108,4,37
109,4,38
110,4,39
