id,app,name,applied
1,contenttypes,0001_initial,2023-12-30 21:51:57.638649
2,contenttypes,0002_remove_content_type_name,2023-12-30 21:51:57.660651
3,auth,0001_initial,2023-12-30 21:51:57.699649
4,auth,0002_alter_permission_name_max_length,2023-12-30 21:51:57.726650
5,auth,0003_alter_user_email_max_length,2023-12-30 21:51:57.742651
6,auth,0004_alter_user_username_opts,2023-12-30 21:51:57.758653
7,auth,0005_alter_user_last_login_null,2023-12-30 21:51:57.773651
8,auth,0006_require_contenttypes_0002,2023-12-30 21:51:57.784652
9,auth,0007_alter_validators_add_error_messages,2023-12-30 21:51:57.801650
10,auth,0008_alter_user_username_max_length,2023-12-30 21:51:57.816651
11,auth,0009_alter_user_last_name_max_length,2023-12-30 21:51:57.834652
12,auth,0010_alter_group_name_max_length,2023-12-30 21:51:57.853656
13,auth,0011_update_proxy_permissions,2023-12-30 21:51:57.868656
14,auth,0012_alter_user_first_name_max_length,2023-12-30 21:51:57.885657
15,hotel_your_choice,0001_initial,2023-12-30 21:51:58.053693
16,admin,0001_initial,2023-12-30 21:51:58.098654
17,admin,0002_logentry_remove_auto_add,2023-12-30 21:51:58.130653
18,admin,0003_logentry_add_action_flag_choices,2023-12-30 21:51:58.158655
19,sessions,0001_initial,2023-12-30 21:51:58.183654
20,hotel_your_choice,0002_alter_hotel_videos,2023-12-30 23:03:56.836536
21,hotel_your_choice,0003_remove_hotel_videos,2023-12-31 01:42:28.732665
22,hotel_your_choice,0004_alter_hotel_night_rate,2024-01-04 14:11:14.955467
23,hotel_your_choice,0005_alter_photo_image,2024-01-12 02:15:01.589545
24,hotel_your_choice,0006_alter_booking_hotel,2024-01-13 05:16:03.806053
25,hotel_your_choice,0007_alter_booking_hotel,2024-01-13 05:20:57.969952
26,hotel_your_choice,0008_hotel_rated_bookings,2024-01-13 21:33:22.453418
27,hotel_your_choice,0009_comment_rating,2024-01-14 01:09:53.227347
28,hotel_your_choice,0010_alter_hotel_id_alter_photo_image,2024-01-15 12:17:55.012982
29,hotel_your_choice,0011_alter_hotel_main_photo_alter_photo_image,2024-01-16 01:31:28.871647
30,hotel_your_choice,0012_alter_hotel_main_photo_alter_photo_image,2024-01-16 17:25:26.081154
31,hotel_your_choice,0013_alter_comment_id,2024-01-17 08:45:26.138409
32,hotel_your_choice,0014_alter_hotel_id,2024-01-18 11:57:06.928683
